"Reference","Value","Datasheet","Footprint","Qty","DNP","#","Description"
"C1,C4,C6,C8,C18,C47,C63","100n","","ShieldXL:C0603","7","","1",""
"C2,C5,C10,C12,C43","10u","","ShieldXL:C0805","5","","2",""
"C3,C35,C36,C38,C39,C41,C42,C44,C45,C46,C88","10n","","ShieldXL:C0603","11","","3",""
"C7,C9","47u","","ShieldXL:C1206","2","","4",""
"C11,C13","220p COG","","ShieldXL:C0603","2","","5",""
"C14,C16","3.3u","","ShieldXL:C0805","2","","6",""
"C15,C17","2700p COG","","ShieldXL:C0603","2","","7",""
"D1","RED","","ShieldXL:CHIPLED_0603_NOOUTLINE","1","","8",""
"D2","BLUE","","ShieldXL:CHIPLED_0603_NOOUTLINE","1","","9",""
"E1,E2,E3","ENC","","ShieldXL:PEC11RN","3","DNP","10",""
"J1,J2,J4,J5","NRJ6HF","https://www.neutrik.com/en/product/nrj6hf","ShieldXL:Jack_6.35mm_Neutrik_NRJ6HF_Horizontal","4","","11",""
"J3,J6","PJ-320B","","ShieldXL:LUOYANG-DISHANG_PJ-320B","2","","12",""
"L1,L2,R21","DNP","","-- mixed values --","3","DNP","13",""
"L3","FERRITE","","ShieldXL:L0805","1","","14",""
"Q1","ASFL1-12.288MHZ-LCS-T","","ShieldXL:ASF","1","","15",""
"R1,R2,R3,R4,R8,R10,R11,R13,R15,R26,R28,R29,R32,R34,R35,R38,R40,R41,R44,R45,R46,R47,R48,R49","10k","","ShieldXL:R0603","24","","16",""
"R5","470立","","ShieldXL:R0603","1","","17",""
"R6,R16","220立","","ShieldXL:R0603","2","","18",""
"R7,R9","4.99k","","ShieldXL:R0603","2","","19",""
"R12,R14","590","","ShieldXL:R0603","2","","20",""
"R17,R18,R19","47立","","ShieldXL:R0603","3","","21",""
"R20","15立","","ShieldXL:R0603","1","","22",""
"S1","EG1390B","","ShieldXL:SOP250P600X400-6N","1","","23",""
"SW1,SW2,SW3","PVA1","","ShieldXL:Choc_MX_combo","3","DNP","24",""
"U$1","FPC1M20P-B310","","ShieldXL:F-FPC1M20P-B310","1","","25",""
"U1","CS4270","","ShieldXL:TSSOP24","1","","26",""
"U2","HCPL-0631-500E","","ShieldXL:SSOP-8_3.9x5.05mm_P1.27mm","1","","27",""
"U11","TPS793475DBVR","","ShieldXL:SSOP5","1","","28",""
"X1","RASPI_BOARD_B+#_E3","","ShieldXL:RASPI_BOARD_B+_EDGES_3DRILL","1","DNP","29",""
